Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
LogisticRegression,0.9847533632286996,0.9583333333333334,0.9261744966442953,0.9419795221843004,0.9865493906929566
MultinomialNB,0.9695067264573991,1.0,0.7718120805369127,0.8712121212121212,0.9875915350091014
